importance,name
28,item_category_1_item_sales_level_std
28,user_star_level_shop_score_description_std
28,shop_id_item_collected_level_median
28,item_city_id_user_star_level_mean
28,user_timezone_freq_morning
28,user_occupation_id_item_collected_level_std
28,item_pv_level_shop_score_service_mean
27,item_category_1_item_collected_level_std
27,item_sales_level_shop_score_service_skew
27,user_age_level_instance_id_cnt
27,item_category_1_item_pv_level_skew
27,item_city_id_shop_review_num_level_std
27,item_city_id_shop_score_delivery_skew
27,user_id_context_page_id_min
27,item_city_id_shop_score_description_median
27,item_collected_level_user_star_level_skew
27,shop_id_item_id_all
27,item_brand_id_shop_star_level_min
27,item_pv_level_user_id_cnt
26,user_id_smooth
26,shop_star_level_user_age_level_mean
26,item_collected_level_user_star_level_std
26,shop_star_level_user_age_level_std
26,shop_star_level_item_price_level_skew
26,shop_star_level_user_id_cnt
26,shop_review_num_level_item_price_level_std
26,item_collected_level_shop_score_delivery_median
26,item_sales_level_user_age_level_skew
25,item_pv_level_shop_score_delivery_skew
25,shop_star_level_item_sales_level_skew
25,shop_id_item_collected_level_max
25,user_star_level_shop_review_positive_rate_std
25,shop_id_item_price_level_median
25,item_brand_id_shop_review_positive_rate_max
25,user_age_level_item_collected_level_std
24,item_pv_level_shop_score_delivery_mean
24,user_star_level_shop_score_delivery_std
24,item_brand_id_shop_star_level_max
24,shop_review_num_level_context_page_id_skew
24,shop_review_num_level_user_star_level_mean
24,user_gender_id_item_price_level_max
24,shop_review_num_level_item_pv_level_std
24,item_sales_level_user_star_level_skew
24,item_category_1_item_sales_level_skew
24,item_city_id_shop_score_delivery_min
24,shop_star_level_user_age_level_skew
24,item_id_shop_review_positive_rate_mean
24,item_brand_id_shop_review_num_level_max
24,item_city_id_shop_score_service_min
24,item_city_id_shop_score_service_mean
24,item_city_id_shop_score_service_median
23,user_age_level_shop_score_description_min
23,item_city_id_shop_id_cnt
23,user_id_item_price_level_median
23,item_id_user_star_level_median
23,user_gender_id_item_price_level_skew
23,shop_id_item_category_1_cnt
23,user_star_level_item_sales_level_mean
23,item_sales_level_shop_star_level_skew
23,item_sales_level_user_star_level_std
23,shop_id_user_star_level_max
23,item_pv_level_shop_review_num_level_skew
22,item_price_level_user_age_level_skew
22,shop_review_num_level_user_age_level_std
22,user_age_level_shop_review_num_level_std
22,item_brand_id_shop_id_cnt
22,item_property_all_max
22,item_city_id_shop_score_delivery_median
22,item_pv_level_shop_review_positive_rate_min
22,shop_id_context_page_id_max
22,user_star_level_shop_review_num_level_min
22,user_age_level_shop_score_description_skew
21,item_pv_level_user_age_level_std
21,how_many_timezone_cnt_ratio
21,shop_review_num_level_user_star_level_skew
21,user_age_level_item_sales_level_mean
21,item_category_1_item_price_level_skew
21,shop_review_num_level_user_age_level_mean
21,shop_review_num_level_item_id_cnt
21,item_sales_level_shop_score_description_mean
20,item_city_id_shop_review_positive_rate_mean
20,item_sales_level_shop_score_delivery_std
20,shop_review_num_level_context_page_id_mean
20,shop_star_level_instance_id_cnt
20,user_star_level_item_collected_level_mean
20,shop_star_level_context_page_id_skew
20,user_star_level_context_page_id_mean
20,shop_review_num_level_item_brand_id_cnt
20,item_collected_level_item_property_cnt
20,shop_id_user_star_level_median
20,item_pv_level_user_age_level_skew
19,user_star_level_item_brand_id_cnt
19,item_collected_level_user_star_level_mean
18,item_collected_level_shop_score_delivery_mean
18,item_city_id_instance_id_cnt
18,user_age_level_item_pv_level_std
18,item_collected_level_shop_score_description_median
18,item_city_id_shop_review_positive_rate_median
18,item_category_1_shop_review_num_level_skew
18,item_category_1_shop_score_delivery_skew
18,item_sales_level_shop_star_level_std
18,item_category_1_item_collected_level_skew
18,item_category_1_item_pv_level_std
18,shop_star_level_user_star_level_skew
18,item_id_shop_review_num_level_std
17,user_id_item_price_level_min
17,user_star_level_shop_score_description_mean
17,item_category_1_context_page_id_mean
17,shop_review_num_level_context_page_id_std
17,item_sales_level_shop_score_description_std
17,shop_review_num_level_instance_id_cnt
17,item_brand_id_shop_review_num_level_median
17,shop_id_context_page_id_median
17,user_star_level_shop_review_num_level_std
17,user_id_item_brand_id_all
17,item_city_id_shop_star_level_median
